,id,tweet,label
0,1224511422484238336,"RT @LegendaryEnergy: Just two weeks of Coronavirus media coverage and:

✅ A new vaccine is on the way
✅ Even staunch libertarians are calli…",fake
1,1238812169095057408,"RT @OldClassicBrown: If you have ever been here, congratulations, you are immune from coronavirus https://t.co/tRdrrxJskF",fake
2,1235071594906537985,RT @hollaa_backk: if you’ve ever used a frat house bathroom you’re immune to the coronavirus,fake
3,1224367464617861121,"RT @TMe1official: Cocaine cures corona virus!! 😱.  
This just got interesting.  

Amma become a dealer for humanity sake. 😂

Mexico and Col…",fake
4,1274433834826608641,"RT @DeplrbleRzistr: It’s almost as if a whole lot of Americans have Covid and their immune systems are dealing with it just fine. 

Could i…",fake
5,1221742862343254018,RT @Jay_Piff: You anti vaccine niggas gone wish we had a vaccine for this coronavirus once this shit starts ripping us apart.,fake
6,1223921427608264704,"RT @Kittuadwani2: True worship can cure incurable diseases like Cancer, Aids, Corona virus etc.
Saint Rampal Ji Maharaj is the one who prov…",fake
7,1221123142434861057,RT @WatcherDead: Since the MSM is bashing people for discovering that Bill Gates predicted the Corona Virus and trying to pin it on Q peopl…,fake
8,1224018632734175232,"RT @Dinesh_Jat_: #NoMeat_NoCoronaVirus
Is corona virus or cancer?  Whatever may be the disease, Saint Rampal ji is cured only by the blessi…",fake
9,1222208811332767744,"RT @KayBurley: ""To get the vaccine into human studies would be about £1,500,000...to move it beyond that depends on how big the epidemic is…",fake
10,1234923472268165127,RT @dman16384: CaroGen’s vaccine candidate employs transformative VLV platform technology developed at Yale University School of Medicine a…,fake
11,1224422675784830977,RT @MrAstrotheology: China Massive Lockdown over Novavirus; Mandatory Universal Vaccine Agenda Has Beg https://t.co/7uruEwbKR2,fake
12,1224061670361726976,RT @DocRock1007: 41. Do you believe in coincidences? A #coronavirus deep dive: One of 4 Chinese laboratories engaged in bioweapons developm…,fake
13,1247787463461883905,"Bill Gates, Coronavirus, and the Mark of the Beast https://t.co/uklkSPVjSi via @YouTube",fake
14,1224072317011054592,RT @PuffDragon11: Just read the @zerohedge piece on the coronavirus. My PhD is in Mol. Bio. No doubt this is an engineered bioweapon and no…,fake
15,1223402846487375872,@TweetsMillenia @zerohedge I suspect China sent in its troll army to report ZH’s nCoV bioweapon story as “fake news”,fake
16,1223701260802482177,"RT @EurekaStockade3: Thats why in a very short time--the Corona vaccine will magically appear
And millions will be vaccinated--esp Chinese…",fake
17,1276021703815180288,"RT @dockaurG: What if I was to tell you that a drug to prevent, cure &amp; treat early #COVID19 already exists?

And what if I told you it is o…",fake
18,1247792693658275842,"RT @That_IjebuBadoo: I'm so glad we now have a vaccine for Coronavirus, now people can stop dying. We can save lives if everyone uses it 🙏…",fake
19,1240603923225800705,"RT @Hayani: It is apparently the SAME way, Israel and Canada found their potential covid-19 vaccine. 

WE HAVE THE CAPACITY AND CAPABILITIE…",fake
20,1234973553583243264,I heard eating ass makes you immune to the coronavirus.,fake
21,1224103940557623307,"RT @bhaktadasa: Thai Doctors ""Cure"" Coronavirus Patient Using Powerful AIDS Drugs | Zero Hedge https://t.co/HbCMvGpVuq",fake
22,1224336131216625664,"The flu will kill us in America  before the #coronavirus. The lack of Healthcare in America will kill us before the #coronaviruse. Trump will kill us before the #coronaviruse.  Income inequality will kill us before the #coronavirus in America. The  #cornonavirus
Is our friend.",fake
23,1223544708309192706,RT @guardiannews: Researchers make strides in race to create coronavirus vaccine https://t.co/aCjI4gWQGC,fake
24,1223656262363164678,"RT @GreatGameIndia: EXCLUSIVE

#Coronavirus Bioweapon Thread

How China Stole Coronavirus From Canada And Weaponized It
https://t.co/tc7W2D…",fake
25,1220923985061269505,RT @Inevitable_ET: The Bill and Melinda Gates Foundation co-hosted a pandemic exercise in late 2019 that simulated a global coronavirus out…,fake
26,1224133323687067648,RT @GSK: We’re collaborating with @CEPIvaccines to make our adjuvant technology available to support the development of a vaccine candidate…,fake
27,1235186307707604993,"RT @DrAmalinaBakri: Yes, alcohol based hand sanitizer with at least 60% alcohol can kill coronavirus as it has an envelope coating around i…",fake
28,1222275518562570240,RT @ivanajpavlovic: The #coronavirus is a manufactured #BioWeapon for the purpose of population control. News websites attempting to report…,fake
29,1236143398119145472,RT @VictorPopeJr: Streets saying we immune because we are the original people,fake
30,1254149451297353728,What's being done by Bill &amp; Melinda Gates to fight the coronavirus? https://t.co/Rrd7mK9k1c,fake
31,1276017267315105793,RT @SteveMotley: Italian MP Demands Bill Gates to Be Charged with 'Crimes Against Humanity' for Role in COVID-19 Pandemic https://t.co/2aRV…,fake
32,1236310049523412994,RT @IIIDeaton: God already gave us the vaccine for the ONLY disease that leads to death ....SIN.  He loves all His creation and wants us wi…,fake
33,1224358276969578496,RT @Independent: UK ploughs £20m into coronavirus vaccine search as Hong Kong doctors demand closure of border with China - follow live htt…,fake
34,1221118254547996672,RT @ferdiriva: Killer coronavirus could be spread through the EYES https://t.co/zTr4XyWm8i,fake
35,1224885172635688966,RT @EyesOnQ: Creator Of US BioWeapons Act Says Coronavirus Is Biological Warfare Weapon https://t.co/L6kIWnpupV,fake
36,1224555581509447680,"RT @MichaelCoudrey: Thailand has potentially cured a coronavirus patient with an anti-HIV drug cocktail, with a patient testing negative af…",fake
37,1223628483504394242,"@moteging 
It became clear that we were trying to scatter the US and Hong Kong and Taiwan with bioweapons!  One thousand people returned to China with a plan to create bioweapons in Wuhan, leaked!  
 https://t.co/aEKHlilhef
https://t.co/5Bdyoc5fAd",fake
38,1223988818560323585,"RT @JuliansRum: In 2019 Trump secured 200K donations per year for 11 years of an HIV vaccine. It’s made by Gilead.

Doctors just cured a Se…",fake
39,1272106427486699520,"@benclatworthy @thesundaytimes We are now in a second phase. The panic has abated and people are edging out of their homes but into a strange world of worry, social distancing and a minefield of new rules. 

Looking forward to the vaccine. Come on Oxford / London! What a tonic that would be for national pride!",fake
40,1223656860734984192,"RT @ABSCBNNews: As we try to cope with the global outbreak of the #nCoV infection and until a vaccine against nCoV is developed, one of our…",fake
41,1224809459177922560,"Bioweapons Expert Exposes Coronavirus as Weapon of War
via https://t.co/4pyjkbmHnF

@BANNEDdotVIDEO
 https://t.co/6YijKusznK",fake
42,1241151210389815296,RT @Castro0Jay: Dominicans found a cure for corona virus 🇩🇴🇩🇴🇩🇴! https://t.co/4pgE4PMQOV,fake
43,1224833966152278016,"@next_china 

https://t.co/q3msIDuWO4

The Chinese government should drop blister-packed Tamiflu &amp; Kaletra (or generic) tablets from drones / helicopters onto the quarantined city streets [with drug interaction warnings].

#Wuhan #nCoV #WuhanPneumonia #coronavirus",fake
44,1224573652017958912,"Thai Scientists may Have Found a Cure to the Coronavirus
#instabtc #blockchain #trx #ltc #investing #buyorders #bullrun #er20
https://t.co/kZ2AHWzrpg",fake
45,1223921062553047040,RT @jan_trops: It's a small blessing people who grew up reading greentext threads are immune to bullshit twitter tales spun by narcissistic…,fake
46,1224470516599148544,"RT @freezerohedge: Creator Of US BioWeapons Act Says Coronavirus Is Biological Warfare Weapon | #FreeZeroHedge 

https://t.co/IXuZEfHFbo",fake
47,1237428900709502977,RT @keywilliamss: So NONE of these Corona Virus cases have been black people?! LEMME FOUND OUT WE IMMUNE. It’s the least God can do after s…,fake
48,1224387936604409862,"RT @Rani99539134: Prevent and get cure form dreadful Corona Virus by understanding the law of God.

#NoMeat_NoCoronaVirus https://t.co/byHf…",fake
49,1272254198613192704,RT @Mhanintsongo: Sbwl BREAKING NEWS:  vaccine and a cure for covid-19 has been found.  😭😭😭😭😭😭😭😭,fake
50,1223702561267617799,RT @Crof: Researchers make strides in race to create #2019nCoV #coronavirus vaccine https://t.co/WuBkYPSAQ0,fake
51,1236741277904965632,RT @rachellegrand14: if you’ve had Oklahoma lake water in your mouth you’re immune to the coronavirus,fake
52,1235268255520038918,Help Cure Coronavirus with Your PC's Leftover Processing Power https://t.co/yIg65HBW4V,fake
53,1224947424483061770,RT @Thomas1774Paine: Creator Of US BioWeapons Act Says Coronavirus Is Biological Warfare Weapon https://t.co/MKKZyhdBxd,fake
54,1235265020478488578,#Coronvirus Today a lady in China Chen wei.  She is very professional.  She put the vaccine on her body.  She help Africa against the Ebola before,fake
55,1224942853434093568,RT @cynthiamckinney: I wouldn't trust ANY vaccine created and distributed by the USG or the Bill &amp; Melinda Gates Foundation; China is right…,fake
